title,score,time,connect_url
牛蝇,5.3,2017-06-17,thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L27onYcvbuidhy5tcDRaWg==
嫌疑人X的献身,5.5,2017-06-18,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+WrjHnkurpY55qEeOi6qy/lq4x55Lq6WOeahHjouqsubXA0Wlo=,magnet:?xt=urn:btih:B2706306D70FDFB699441E63CCC739FA931C1DFC"
美好的意外[抢先版],5.5,2017-06-19,thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+e+jmjnmoR55aSWW+aKouWFiOeJiF0v576OaOeahHnlpJZb5oqi5YWI54mIXS5tcDRaWg==
加州公路巡警,6.8,2017-06-19,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+WKoOW3nuWFrOi3r+W3oeitpi/liqDlt57lhazot6/lt6HoraYubXA0Wlo=,magnet:?xt=urn:btih:491C0053D098798397EC9221944A5867FF6D96F9"
明日的我与昨日的你约会,7.5,2017-06-19,"thunder://QUFodHRwOi8vZGwxMjIuODBzLmltOjkyMC8xNzA2L+aYjuaXpeeahOaIkeS4juaYqOaXpeeahOS9oOe6puS8mi/mmI7ml6XnmoTmiJHkuI7mmKjml6XnmoTkvaDnuqbkvJoubXA0Wlo=,magnet:?xt=urn:btih:1f70f99297462a47f6f2ede4e5a9efbc965123d2&dn=Tomorrow.I.Will.Date.with.Yesterdays.You.2016.720p.BluRay.x264-WiKi&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
微光湖,5.9,2017-06-18,thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+W+ruWFiea5li/lvq7lhYnmuZYubXA0Wlo=
盗爱时空之笨贼也疯狂,3.1,2017-06-18,thunder://QUFodHRwOi8vZGwxMjEuODBzLmltOjkyMC8xNzA2L+ebl+eIseaXtuepuuS5i+esqOi0vOS5n+eWr+eLgi/nm5fniLHml7bnqbrkuYvnrKjotLzkuZ/nlq/ni4IubXA0Wlo=
漂洋过海来爱你,5.1,2017-06-19,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+a8gua0i+i/h+a1t+adpWHkvaAv5ryC5rSL6L+H5rW35p2lYeS9oC5tcDRaWg==,magnet:?xt=urn:btih:38E460EE5ACB4F7474E0D784EE4B1901EFC676AE"
杀儿凶手,6.8,2017-06-16,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+adgOWEv+WHtuaJiy/mnYDlhL/lh7bmiYsubXA0Wlo=
银河护卫队2[DVD版],8.2,2017-06-21,thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+mTtmjmiqTljavpmJ8yW0RWROeJiF0v6ZO2aOaKpOWNq+mYnzJbRFZE54mIXS5tcDRaWg==
一切为了幸福,7.2,2017-06-16,thunder://QUFodHRwOi8vZGwxMjUuODBzLmltOjkyMC8xNzA2L+S4gOWIh+S4uuS6huW5uOemjy/kuIDliIfkuLrkuoblubjnpo8ubXA0Wlo=
生化危机：复仇,7.5,2017-06-21,"thunder://QUFodHRwOi8vZGwxMjMuODBzLmltOjkyMC8xNzA2L+eUn2jljbHmnLrvvJpm5LuHL+eUn2jljbHmnLrvvJpm5LuHLm1wNFpa,magnet:?xt=urn:btih:ca7453e46014c4d2c78c520c12064747429b5774&dn=Resident.Evil.Vendetta.2017.720p.WEB-DL.XviD.AC3-FGT&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710%2Fannounce&tr=udp%3A%2F%2F9.rarbg.to%3A2710%2Fannounce"
中国推销员[抢先版],4.5,2017-06-19,thunder://QUFodHRwOi8vZGwxMjQuODBzLmltOjkyMC8xNzA2L+S4reWbveaOqHjlkZhb5oqi5YWI54mIXS/kuK3lm73mjqh45ZGYW+aKouWFiOeJiF0ubXA0Wlo=
